Time,Day,Date,T.Max,T.Min,Rain,Evap,Radn,VP,RHmaxT,RHminT,Soil_Temperature
19880427,118,27/04/1988,36.6,23,0,7.5,17,25.1,40.9,89.4,28.26
19880428,119,28/04/1988,35.5,21.5,0,7.4,20,25.5,44.1,99.5,26.91
19880429,120,29/04/1988,33.9,20.1,0,6.9,21.6,18,34,76.5,25.44
19880430,121,30/04/1988,34.3,16.4,0,6.7,22.9,13.3,24.6,71.3,23.32
19880501,122,1/5/1988,34.9,16.2,0,5.6,21.6,18.5,33.1,100,23.43
19880502,123,2/5/1988,35.4,16.7,0,5.4,18.6,18.7,32.5,98.4,23.93
19880503,124,3/5/1988,36.4,17.1,0,5.2,19.4,19,31.3,97.5,24.56
19880504,125,4/5/1988,36.6,20,0,5.3,19.8,23.7,38.6,100,26.42
19880505,126,5/5/1988,36.6,21.5,0,5.7,18.6,28,45.6,100,27.34
19880506,127,6/5/1988,36.6,21.4,0,6.1,18.1,28.3,46.1,100,27.28
19880507,128,7/5/1988,36.7,21.3,0,6.6,18.7,24,38.9,94.8,27.26
19880508,129,8/5/1988,36.5,20,0,6.8,20.7,23,37.7,98.4,26.38
19880509,130,9/5/1988,36.3,19.1,0,7.2,20.1,23.8,39.4,100,25.75
19880510,131,10/5/1988,36.1,20.6,0,9.2,21,23.1,38.7,95.2,26.59
19880511,132,11/5/1988,33.1,21.8,0,8.6,18.1,13.7,27.1,52.5,26.17
19880512,133,12/5/1988,31.6,19.1,0,6.3,17.1,15.8,34,71.5,23.93
19880513,134,13/05/1988,32.5,19.6,0,6,16.6,20,40.9,87.7,24.59
19880514,135,14/05/1988,34.5,21.7,0,6.3,18.7,25.1,45.9,96.7,26.65
19880515,136,15/05/1988,35,22.5,0,7,17.9,24,42.7,88.1,27.33
19880516,137,16/05/1988,34.8,21.4,0,5.9,16.6,26.4,47.5,100,26.58
19880517,138,17/05/1988,35,23.7,0,5.1,18,26.9,47.8,91.8,28.07
19880518,139,18/05/1988,35,23.6,0,4.9,15.2,26.8,47.7,92,28.01
19880519,140,19/05/1988,36,24.3,0,5.4,17.3,28,47.1,92.2,28.82
19880520,141,20/05/1988,35.4,21.7,0,6.8,16.7,20.4,35.5,78.6,27
19880521,142,21/05/1988,33.7,21.4,0,5.2,11.6,23.1,44.2,90.7,26.16
19880522,143,22/05/1988,35.7,20.1,0,6.4,12.2,21.4,36.6,91,26.13
19880523,144,23/05/1988,35.6,18.3,0,5.9,19.4,21,36.1,99.9,24.99
19880524,145,24/05/1988,36.5,18,0,6.4,19.6,23.2,38,100,25.15
19880525,146,25/05/1988,34.7,17.8,0,6.4,19.9,21.1,38.2,100,24.34
19880526,147,26/05/1988,34.9,16.9,0,6.1,20.2,20.1,35.9,100,23.86
19880527,148,27/05/1988,35,16.2,0,7.5,20.1,21.6,38.4,100,23.47
19880528,149,28/05/1988,34.2,17.2,0,7.8,20.3,14.4,26.8,73.4,23.77
19880529,150,29/05/1988,32.1,17.8,0,7.9,20.8,13.5,28.2,66.3,23.33
19880530,151,30/05/1988,31.6,15.7,0,6.2,20.6,14.7,31.6,82.5,21.85
19880531,152,31/05/1988,32.5,16.1,0,6.6,18.8,19.9,40.7,100,22.44
19880601,153,1/6/1988,32,16,0,6.6,18.6,20.7,43.5,100,22.19
19880602,154,2/6/1988,32.5,16,0,6.3,13.8,20,40.9,100,22.38
19880603,155,3/6/1988,32.4,17,0,5.1,17.1,20.7,42.6,100,22.96
19880604,156,4/6/1988,32.8,16,0,5.6,19.7,17.7,35.6,97.4,22.5
19880605,157,5/6/1988,33.2,14.8,0,5.9,17.3,18.2,35.8,100,21.92
19880606,158,6/6/1988,32.2,15,0,6.7,19.1,12.4,25.8,72.8,21.65
19880607,159,7/6/1988,32.6,13.9,0,6.7,17.1,14.7,29.9,92.6,21.13
19880608,160,8/6/1988,33.5,13.4,0,6.4,14.3,18.8,36.3,100,21.17
19880609,161,9/6/1988,33.3,14.1,0,6.4,12.1,11.6,22.7,72.1,21.52
19880610,162,10/6/1988,34.3,14,0,6.8,15.9,11.2,20.7,70.1,21.85
19880611,163,11/6/1988,33,14,0,7.5,17.7,15.4,30.6,96.4,21.35
19880612,164,12/6/1988,32.3,14.2,0,7.1,19.8,13.8,28.5,85.3,21.2
19880613,165,13/06/1988,31.7,12.8,0,6.7,20.5,9.8,21,66.3,20.11
19880614,166,14/06/1988,31.6,10.1,0,6.7,20.1,9.1,19.6,73.7,18.41
19880615,167,15/06/1988,31.9,9.7,0,6.3,20.5,8.8,18.6,73.2,18.28
19880616,168,16/06/1988,31.1,8.7,0,7.3,20.5,7.8,17.3,69.4,17.36
19880617,169,17/06/1988,29.4,11.2,0,7.6,20.8,7.7,18.8,57.9,18.24
19880618,170,18/06/1988,29.4,8.1,0,6.3,20.9,7.2,17.6,66.7,16.34
19880619,171,19/06/1988,30,9.9,0,6.4,19.9,9.2,21.7,75.5,17.67
19880620,172,20/06/1988,31.4,11.7,0,5.8,19.9,15.2,33.1,100,19.32
19880621,173,21/06/1988,31.2,12.1,0,8.7,20.2,13.8,30.4,97.8,19.49
19880622,174,22/06/1988,29.8,13.4,0,8.9,20.4,9.5,22.6,61.8,19.74
19880623,175,23/06/1988,27.7,13,0,8.8,20.8,7.8,21,52.1,18.68
19880624,176,24/06/1988,26.6,10,0,6,21,6.8,19.5,55.4,16.42
19880625,177,25/06/1988,27.8,7.2,0,5.9,21,6.2,16.6,61.1,15.17
19880626,178,26/06/1988,28.9,10.7,0,5.9,20,13.4,33.7,100,17.74
19880627,179,27/06/1988,28.1,11.5,0,6.3,20,14.1,37.1,100,17.92
19880628,180,28/06/1988,29.6,10.4,0,5.2,20,9.9,23.9,78.5,17.82
19880629,181,29/06/1988,31.7,12.9,0,5.7,16,13.2,28.2,88.8,20.17
19880630,182,30/06/1988,32.4,18.3,0,6.9,16.7,19.8,40.7,94.2,23.75
19880701,183,1/7/1988,32.2,18.9,0,7.6,16.7,19.9,41.4,91.2,24.04
19880702,184,2/7/1988,31.4,19.5,0,5.6,14.2,17.9,38.9,79,24.1
19880703,185,3/7/1988,31.1,18.1,0,5.6,16.5,19.9,44,95.9,23.13
19880704,186,4/7/1988,30.8,17.3,0,6.2,18.2,19.1,43,96.8,22.52
19880705,187,5/7/1988,29.7,18.6,0,6.8,18.7,13.4,32.1,62.6,22.89
19880706,188,6/7/1988,29.3,14.6,0,6.6,17.9,7.3,17.9,44,20.28
19880707,189,7/7/1988,31,14.4,0,6.6,20.3,8.2,18.3,50,20.82
19880708,190,8/7/1988,32.3,16.2,0,5.4,19.4,9.6,19.9,52.2,22.43
19880709,191,9/7/1988,32.5,16.7,0,5.6,17.8,14.7,30.1,77.4,22.81
19880710,192,10/7/1988,32.5,16.4,0,9,17,11.7,23.9,62.8,22.63
19880711,193,11/7/1988,31,16.1,0,9.2,19.2,7.6,16.9,41.6,21.86
19880712,194,12/7/1988,31.4,19,0,6.9,20.5,6.2,13.5,28.2,23.8
19880713,195,13/07/1988,31.1,15.8,0,6.9,20.9,13.5,29.9,75.2,21.72
19880714,196,14/07/1988,30.8,12.6,0,6,20.5,12.1,27.2,83,19.64
19880715,197,15/07/1988,31.1,11.2,0,5.8,20.5,8.2,18.1,61.7,18.9
19880716,198,16/07/1988,32.4,13.4,0,6.3,20.2,11.8,24.3,76.8,20.75
19880717,199,17/07/1988,31.6,16.9,0,6.4,19.7,18.1,38.9,94.1,22.58
19880718,200,18/07/1988,31.2,16.2,0,5.9,20.1,18.4,40.5,100,22
19880719,201,19/07/1988,31.7,14.8,0,5.1,17.4,12.4,26.5,73.7,21.34
19880720,202,20/07/1988,32.6,16.9,0,5.9,19.1,20.6,41.9,100,22.97
19880721,203,21/07/1988,33.3,17.5,0,5.9,18.8,20.8,40.7,100,23.61
19880722,204,22/07/1988,32.8,18.7,0,7.2,15.7,16.8,33.8,77.9,24.15
19880723,205,23/07/1988,30.9,16.8,0,6.8,19.5,15.4,34.5,80.5,22.25
19880724,206,24/07/1988,30.2,13.6,0,6.4,21.4,11.7,27.3,75.2,20.02
19880725,207,25/07/1988,31,12.2,0,5.8,22,8.5,18.9,59.9,19.47
19880726,208,26/07/1988,31.5,12.8,0,6,22,9.7,21,65.7,20.03
19880727,209,27/07/1988,31.8,14.5,0,8.3,21.8,12,25.5,72.7,21.19
19880728,210,28/07/1988,31.2,14.6,0,7.2,22.4,7.5,16.5,45.2,21.02
19880729,211,29/07/1988,31.8,15.1,0,8.5,21.4,17.2,36.6,100,21.56
19880730,212,30/07/1988,31.8,19.3,0,8.6,17.5,19.1,40.6,85.4,24.13
19880731,213,31/07/1988,31.7,19,0,7.1,14.1,18.6,39.8,84.7,23.91
19880801,214,1/8/1988,31.6,17.9,0,6.9,16,16.8,36.1,82,23.2
19880802,215,2/8/1988,32.8,18.9,0,6.8,16.2,19.7,39.6,90.3,24.28
19880803,216,3/8/1988,33.1,18.7,0,7.1,18.6,19.5,38.5,90.5,24.27
19880804,217,4/8/1988,33.7,20.4,0,8,14.6,19.8,37.8,82.7,25.54
19880805,218,5/8/1988,33.3,17.8,0,9.1,21.4,10.9,21.3,53.5,23.79
19880806,219,6/8/1988,32.6,18,0,9,22.2,10.2,20.7,49.4,23.65
19880807,220,7/8/1988,32,18.3,0,8.2,22.7,7.6,16,36.2,23.6
19880808,221,8/8/1988,31.6,16.9,0,9.5,19.9,6.2,13.3,32.2,22.58
19880809,222,9/8/1988,30.8,16.6,0,9.6,20.9,5.3,11.9,28.1,22.09
19880810,223,10/8/1988,31.1,15.5,0,9.2,19.8,5,11.1,28.4,21.53
19880811,224,11/8/1988,31.1,14.1,0,8.8,22.7,4.5,10,28,20.67
19880812,225,12/8/1988,31.2,13.7,0,8,24,4.4,9.7,28.1,20.47
19880813,226,13/08/1988,33.4,13.5,0,6,23.3,10,19.4,64.7,21.2
19880814,227,14/08/1988,34.7,16.8,0,5.6,20,18.4,33.3,96.2,23.72
19880815,228,15/08/1988,35.1,19.6,0,6.7,19.8,22.2,39.3,97.4,25.59
19880816,229,16/08/1988,35.4,19.8,0,6.5,18,23.7,41.2,100,25.83
19880817,230,17/08/1988,36,20.4,0,7.3,21.1,20.1,33.8,83.9,26.43
19880818,231,18/08/1988,34.8,21.4,0,6.3,18.5,23.3,41.9,91.5,26.58
19880819,232,19/08/1988,34.9,23.6,0,6.4,16.5,24.9,44.5,85.5,27.97
19880820,233,20/08/1988,35.2,22.7,0,7.8,22.3,22.4,39.4,81.2,27.53
19880821,234,21/08/1988,35.9,22.9,0,6.9,21.6,24.9,42.1,89.2,27.93
19880822,235,22/08/1988,34.4,23.5,0,6.7,18.8,25.1,46.1,86.7,27.72
19880823,236,23/08/1988,34,23.2,0,8.5,24.3,10.3,19.4,36.2,27.38
19880824,237,24/08/1988,31.5,19.6,0,8.3,23.3,9.2,19.9,40.4,24.2
19880825,238,25/08/1988,32.2,18.7,0,8.4,24.5,9.5,19.8,44.1,23.92
19880826,239,26/08/1988,32.1,14.8,0,7.9,24.6,11.3,23.6,67.2,21.49
19880827,240,27/08/1988,32.9,14.2,0,9.8,24.9,8.2,16.4,50.7,21.43
19880828,241,28/08/1988,32.8,16.9,0,8.9,25.1,5.5,11.1,28.6,23.05
19880829,242,29/08/1988,32.7,16.8,0,8.7,25.2,6.3,12.7,32.9,22.95
19880830,243,30/08/1988,35.1,17.4,0,9,21.7,15.4,27.2,77.5,24.24
19880831,244,31/08/1988,35.2,20.9,0,7.3,19.8,21.4,37.6,86.6,26.43
19880901,245,1/9/1988,36.5,20.4,0,7,20.8,19.5,31.9,81.4,26.63
19880902,246,2/9/1988,35.3,23.7,0,7.6,18.4,22.7,39.7,77.5,28.19
19880903,247,3/9/1988,35.9,23.9,1,5.4,19.5,23.1,39.1,77.9,28.54
19880904,248,4/9/1988,36.7,25.2,0,8.6,20.9,18.8,30.5,58.7,29.65
19880905,249,5/9/1988,36,23.9,0,7.2,21.9,21.9,36.9,73.9,28.58
19880906,250,6/9/1988,37.1,21.3,0,7.8,21.3,22.9,36.3,90.4,27.41
19880907,251,7/9/1988,37.1,22.8,0,8.9,22.4,20,31.7,72.1,28.33
19880908,252,8/9/1988,37.1,22,0,8.9,24,22.3,35.3,84.4,27.84
19880909,253,9/9/1988,37.3,21.2,0,7.2,22.6,26.2,41.1,100,27.43
19880910,254,10/9/1988,37.7,24.2,0,8.3,21.5,26.5,40.6,87.8,29.42
19880911,255,11/9/1988,37.9,24,0,7.9,18.8,26.2,39.8,87.8,29.38
19880912,256,12/9/1988,38.1,25.1,0,8.7,20.4,27.8,41.7,87.3,30.13
19880913,257,13/09/1988,37.3,26.2,0,12.4,23.3,23.2,36.4,68.2,30.49
19880914,258,14/09/1988,34.3,22.3,0,9.8,20.4,4.5,8.3,16.7,26.94
19880915,259,15/09/1988,33.6,15.3,0,8,21.7,9.8,18.8,56.4,22.38
19880916,260,16/09/1988,36.1,15.8,0,7.6,24.7,16.6,27.8,92.5,23.65
19880917,261,17/09/1988,37.1,18.7,0,8.9,24.5,21.1,33.4,97.9,25.82
19880918,262,18/09/1988,34.9,21,0,10.5,25.2,14.4,25.7,57.9,26.38
19880919,263,19/09/1988,33.4,18.1,0,11,27.1,3.9,7.6,18.8,24.02
19880920,264,20/09/1988,35.1,16.3,0,9,25.1,5.6,9.9,30.2,23.57
19880921,265,21/09/1988,36.6,16,0,8.2,25.4,10.5,17.1,57.8,23.97
19880922,266,22/09/1988,37.2,18.3,0,7.8,25.7,18.2,28.7,86.6,25.61
19880923,267,23/09/1988,36.9,21.8,0,8.1,23.6,26,41.7,99.6,27.64
19880924,268,24/09/1988,37.3,25.3,0,7.7,22.7,25.3,39.7,78.5,29.94
19880925,269,25/09/1988,37.3,25.4,0,7.6,22.2,26.6,41.7,82,30
19880926,270,26/09/1988,37.8,25.5,1,7.6,20,25,38.1,76.6,30.26
19880927,271,27/09/1988,38.9,24.3,0,8,23.3,25.2,36.2,83,29.95
19880928,272,28/09/1988,39.2,24.6,0.2,8.5,23.5,26.2,37.1,84.7,30.25
19880929,273,29/09/1988,39.8,25.2,0,8,22.4,26.9,36.9,83.9,30.85
19880930,274,30/09/1988,38.4,24.4,0,10,22.8,20.8,30.7,68.1,29.81
19881001,275,1/10/1988,39.2,24,0,9.2,23.2,22.7,32.1,76.1,29.88
19881002,276,2/10/1988,39.6,25.5,0,8.5,21.8,26.7,37,81.8,30.95
19881003,277,3/10/1988,40,25,0,9.5,20.6,23.9,32.4,75.5,30.8
19881004,278,4/10/1988,40.9,25.5,0,9.3,22.5,25.4,32.8,77.9,31.46
19881005,279,5/10/1988,39.3,25.9,0,9.4,24.4,27.8,39.1,83.2,31.08
19881006,280,6/10/1988,39,25.8,0,8.6,21.8,26.6,38,80.1,30.9
19881007,281,7/10/1988,39.6,24.5,0,8.4,24.6,25.5,35.3,83,30.34
19881008,282,8/10/1988,39.3,25.8,0,8.5,25,25.6,36,77.1,31.02
19881009,283,9/10/1988,39.4,25.6,0,8.8,23.7,26.8,37.5,81.7,30.94
19881010,284,10/10/1988,39.4,25.9,0,8.5,23.9,22.9,32.1,68.5,31.12
19881011,285,11/10/1988,37.2,25.6,0,8.6,19.6,26.6,41.9,81.1,30.09
19881012,286,12/10/1988,39.7,25.9,0,7.8,17.7,25.3,34.8,75.7,31.24
19881013,287,13/10/1988,39.1,26,0,9.6,21.1,26.6,37.8,79.2,31.07
19881014,288,14/10/1988,38.1,24.9,0,8.3,20.5,25.3,38,80.4,30
19881015,289,15/10/1988,38.4,23.9,0,8.5,20.5,22.8,33.7,76.9,29.51
19881016,290,16/10/1988,39.6,23.2,0,8.5,24.1,24.8,34.3,87.2,29.54
19881017,291,17/10/1988,40.4,25.2,0,7.7,24.5,24.5,32.5,76.4,31.08
19881018,292,18/10/1988,41.1,25,0,10.7,24.9,22.8,29.2,72,31.23
19881019,293,19/10/1988,40.9,24.6,0,8.6,21.4,24.5,31.7,79.2,30.9
19881020,294,20/10/1988,39.3,26.4,0,8.3,21.1,25.9,36.4,75.3,31.39
19881021,295,21/10/1988,38.1,26.3,0,9.4,22.1,25.9,38.9,75.7,30.86
19881022,296,22/10/1988,37.5,27.6,0,7.3,19.9,26.1,40.5,70.7,31.43
19881023,297,23/10/1988,38.5,25,0,10.2,23.3,26,38.2,82.1,30.22
19881024,298,24/10/1988,39.9,25.5,0,9.8,24.5,25.7,35,78.8,31.07
19881025,299,25/10/1988,38.9,22.2,0,11.5,27.6,7.2,10.4,26.9,28.66
19881026,300,26/10/1988,39.1,21.9,0,9.1,27.6,24,34.1,91.4,28.55
19881027,301,27/10/1988,39.1,25.9,0,9.2,24.4,26.5,37.7,79.3,31
19881028,302,28/10/1988,39.3,26.4,0,9,25.1,26.7,37.6,77.6,31.39
19881029,303,29/10/1988,38.7,27.3,0,10.2,23.7,28.1,40.8,77.5,31.71
19881030,304,30/10/1988,40.2,26.1,0,9.7,25.9,26.5,35.5,78.4,31.55
19881031,305,31/10/1988,40.3,26,0,8.5,24.3,26.8,35.8,79.7,31.53
19881101,306,1/11/1988,39.8,27.8,0,9.5,24.2,26.9,36.9,72,32.44
19881102,307,2/11/1988,38.8,23.5,0.2,9.1,23.3,25.6,37,88.4,29.42
19881103,308,3/11/1988,38.3,25.6,0,8.4,24.1,25.7,38.2,78.3,30.51
19881104,309,4/11/1988,38.7,27,0,7.5,22.5,25.7,37.3,72.1,31.52
19881105,310,5/11/1988,40.1,27.7,0,8.4,24.2,28.7,38.7,77.3,32.5
19881106,311,6/11/1988,40.2,27.4,0,9,23.2,28.6,38.4,78.4,32.35
19881107,312,7/11/1988,39.5,28.9,0,8.2,20.8,28.9,40.2,72.6,33
19881108,313,8/11/1988,39.8,26.9,6.4,9.8,22.6,30.3,41.5,85.5,31.89
19881109,314,9/11/1988,39.6,26.6,0,8.2,18.5,28.8,39.9,82.7,31.63
19881110,315,10/11/1988,39.7,26.5,6.8,9.1,23.2,24.6,33.9,71.1,31.6
19881111,316,11/11/1988,39.6,24.8,0,8.3,23.2,25.4,35.2,81.2,30.52
19881112,317,12/11/1988,37.6,24.2,1.8,8.3,20.9,28,43.2,92.7,29.38
19881113,318,13/11/1988,37.7,26.5,0,8.7,19.9,26.3,40.3,76,30.83
19881114,319,14/11/1988,36,24.7,0.4,6.6,18.6,26.4,44.4,84.9,29.07
19881115,320,15/11/1988,38.6,27.3,0,8.9,23.1,19.1,27.9,52.6,31.67
19881116,321,16/11/1988,37.2,25.6,0,9.5,26.2,17.8,28.1,54.2,30.09
19881117,322,17/11/1988,36.6,26.2,0,8.1,21.7,19.9,32.4,58.5,30.22
19881118,323,18/11/1988,37.1,26.1,0,9.1,15.7,26.6,42.2,78.7,30.35
19881119,324,19/11/1988,35.8,24.4,0.6,4.9,19.1,27.9,47.5,91.3,28.81
19881120,325,20/11/1988,36.9,24,19.6,8,20.2,29.8,47.7,99.9,28.99
19881121,326,21/11/1988,35.9,25.4,1,5.2,19,28.3,47.9,87.3,29.46
19881122,327,22/11/1988,35.5,25.1,2.8,7.7,19.8,31,53.6,97.3,29.12
19881123,328,23/11/1988,35,24.5,3,6,17,30.1,53.5,97.9,28.56
19881124,329,24/11/1988,35.8,25.9,0,5.3,17,28.4,48.3,85,29.73
19881125,330,25/11/1988,36.3,23.4,17,5.9,17,28.6,47.3,99.4,28.39
19881126,331,26/11/1988,36.8,25,0,8.6,18.5,28.6,46.1,90.3,29.56
19881127,332,27/11/1988,37.5,23.7,20,6.8,21.1,29.6,45.9,100,29.04
19881128,333,28/11/1988,35.6,24.6,0,5.2,18.2,26.7,45.9,86.3,28.85
19881129,334,29/11/1988,34.2,23.6,0.4,5.1,17.3,26.6,49.4,91.3,27.7
19881130,335,30/11/1988,34,24.1,2.2,5.7,16.8,31.5,59.2,100,27.93
19881201,336,1/12/1988,29.3,24.5,0,4.4,15.5,25.3,62.1,82.3,26.36
19881202,337,2/12/1988,28,23.5,4.4,6.6,11.5,28.1,74.4,97.1,25.24
19881203,338,3/12/1988,32.1,21.7,6,5.8,16.5,28.1,58.8,100,25.72
19881204,339,4/12/1988,34.9,24.4,7.8,3.8,17.3,28.5,51,93.3,28.46
19881205,340,5/12/1988,34.6,24.7,1.8,7.7,21.1,31.5,57.3,100,28.53
19881206,341,6/12/1988,35.4,23.9,10.6,7.8,25.5,29.8,51.8,100,28.35
19881207,342,7/12/1988,35,23.9,19.6,7.1,23.1,31.6,56.2,100,28.19
19881208,343,8/12/1988,34.4,23,37.4,6.9,24.3,26.7,49.1,95.1,27.41
19881209,344,9/12/1988,34.5,24,0,4.6,22.3,29.8,54.5,99.9,28.06
19881210,345,10/12/1988,34.8,24,2.6,5.3,23.3,29.9,53.8,100,28.18
19881211,346,11/12/1988,34,23.8,39.6,4.9,8.4,29.7,55.8,100,27.74
19881212,347,12/12/1988,32.9,25.8,0,4.9,8.1,31.8,63.6,95.8,28.55
19881213,348,13/12/1988,31.1,23.8,10.4,5.5,7.1,29.8,66,100,26.62
19881214,349,14/12/1988,34.4,23.1,11.6,5.6,14.8,28.3,52,100,27.47
19881215,350,15/12/1988,34.9,22.5,37.4,5.4,24.9,28.2,50.4,100,27.3
19881216,351,16/12/1988,34.7,21.5,21,5.6,24.4,26.5,47.9,100,26.6
19881217,352,17/12/1988,35,23.2,0,7.3,26.1,26.9,47.8,94.6,27.76
19881218,353,18/12/1988,35.6,24.5,0,6.4,23.7,31.6,54.4,100,28.79
19881219,354,19/12/1988,37.6,25.7,0,7,24.9,33.4,51.5,100,30.3
19881220,355,20/12/1988,36.2,26.4,0,7.9,7.4,33.4,55.6,97.1,30.19
19881221,356,21/12/1988,36,27,0,8.7,15.4,30.2,50.8,84.7,30.48
19881222,357,22/12/1988,33.3,23.6,0.4,4.6,7.2,26.6,52,91.3,27.35
19881223,358,23/12/1988,34.9,25.9,0,5.5,15.7,29.9,53.5,89.5,29.38
19881224,359,24/12/1988,33.4,23.3,49.8,3.2,15.4,29.9,58.1,100,27.21
19881225,360,25/12/1988,33.4,24.5,13.4,4.1,21.1,30.3,58.9,98.6,27.94
19881226,361,26/12/1988,34.4,25.1,0,4.6,20.1,29,53.3,91,28.7
19881227,362,27/12/1988,33.5,24.4,0.6,3.3,7.8,30.1,58.2,98.5,27.92
19881228,363,28/12/1988,33.2,24.5,0.2,3,7.3,29.9,58.8,97.3,27.86
19881229,364,29/12/1988,33.5,22.4,12.2,6.2,8.3,29.9,57.8,100,26.69
19881230,365,30/12/1988,33.8,23.6,54,4.2,18.5,31.5,59.9,100,27.54
19881231,366,31/12/1988,33.7,24.7,0,4.6,21.3,29.8,57,95.8,28.18
19890101,1,1/1/1989,34.8,24.4,0,8.2,22.2,29.8,53.6,97.5,28.42
19890102,2,2/1/1989,32.6,24,0.8,6.2,17.8,28.6,58.1,95.9,27.33
19890103,3,3/1/1989,34.6,23.7,3.8,6,24.4,32.4,58.9,100,27.92
19890104,4,4/1/1989,35.4,24.8,2,7.4,24.1,30,52.2,95.9,28.9
19890105,5,5/1/1989,33.7,24.3,1.4,5.8,18.7,29.8,57,98.1,27.94
19890106,6,6/1/1989,34.9,23.9,0.2,6.2,21.3,28.2,50.4,95.1,28.15
19890107,7,7/1/1989,36.5,24.9,0,6.8,24.1,28.2,46.2,89.6,29.39
19890108,8,8/1/1989,36.2,25.2,0.4,5.5,21.8,28.1,46.8,87.7,29.45
19890109,9,9/1/1989,36.2,24.3,0,6.1,26.2,28.2,46.9,92.9,28.9
19890110,10,10/1/1989,36.9,25.1,0,6.5,24.6,28.2,45.2,88.5,29.66
19890111,11,11/1/1989,36.5,25.5,0,7.8,24.6,26.4,43.2,80.9,29.75
19890112,12,12/1/1989,35.2,22.9,9.6,6.1,25.9,29.8,52.4,100,27.66
19890113,13,13/01/1989,37.2,24.5,0,5.6,23.4,31.6,49.8,100,29.41
19890114,14,14/01/1989,38.2,23.1,0,6.9,26.4,31.4,46.9,100,28.94
19890115,15,15/01/1989,38,22.9,0,8.1,26.4,28.3,42.7,100,28.74
19890116,16,16/01/1989,37.2,25.1,0,8.1,26.2,29.9,47.1,93.9,29.78
19890117,17,17/01/1989,36.5,23.9,0.6,6.2,23.5,26.5,43.4,89.4,28.77
19890118,18,18/01/1989,38.1,25.2,1.2,8,25.9,26.5,39.8,82.7,30.19
19890119,19,19/01/1989,37,26.1,0,6.8,20.5,29.8,47.5,88.2,30.32
19890120,20,20/01/1989,37.7,24.9,0,7,25.3,29.7,45.6,94.3,29.85
19890121,21,21/01/1989,37.5,24.5,0,9.1,25.6,28.7,44.5,93.4,29.53
19890122,22,22/01/1989,36.8,25.2,0,6.1,23.7,29.8,48,93,29.69
19890123,23,23/01/1989,35.5,23.1,10.4,6.8,24.4,29.7,51.4,100,27.9
19890124,24,24/01/1989,35.2,23.6,8.4,4.9,17.9,31.5,55.4,100,28.09
19890125,25,25/01/1989,37.4,25.3,0,6.4,14.6,31.6,49.3,98,29.98
19890126,26,26/01/1989,35.5,24.5,5,5.3,22.9,30.9,53.5,100,28.75
19890127,27,27/01/1989,34.8,24.4,2,4.6,11.6,28.1,50.5,92,28.42
19890128,28,28/01/1989,33.9,24.4,0,5.5,17.4,26.5,50.1,86.7,28.07
19890129,29,29/01/1989,29.6,24.4,0,4.6,7.8,22.5,54.3,73.6,26.41
19890130,30,30/01/1989,28.6,23.7,17.2,3.2,7.2,28.2,72.1,96.3,25.59
19890131,31,31/01/1989,29.6,20.7,75,5,7.3,29.8,71.9,100,24.14
19890201,32,1/2/1989,32.9,23.5,12.8,4.6,14.3,29.8,59.6,100,27.14
19890202,33,2/2/1989,35.3,22.5,19.8,5.8,21.8,31.7,55.4,100,27.45
19890203,34,3/2/1989,35,23.7,0,7.2,22.7,28,49.8,95.6,28.07
19890204,35,4/2/1989,35.5,25.6,0,5.9,20.1,31.7,54.8,96.6,29.43
19890205,36,5/2/1989,35.8,24.1,0,7.8,25.5,31.5,53.6,100,28.62
19890206,37,6/2/1989,36.5,24.7,0,7.4,26.2,28.4,46.5,91.3,29.26
19890207,38,7/2/1989,35.5,24.1,0,6.8,23.7,28.1,48.6,93.6,28.51
19890208,39,8/2/1989,36,23.1,3.8,6.7,24.1,29.9,50.3,100,28.09
19890209,40,9/2/1989,35.5,25.1,2.8,7,23.8,29.9,51.7,93.9,29.12
19890210,41,10/2/1989,31.3,22.4,13.8,5.5,18.2,25.2,55.1,93.1,25.84
19890211,42,11/2/1989,33.9,22.9,2.8,8.5,19,28.2,53.3,100,27.15
19890212,43,12/2/1989,35.5,23.3,0,6.4,24.7,26.5,45.8,92.7,28.02
19890213,44,13/02/1989,35.5,23.7,0,8.1,25.1,26.7,46.2,91.1,28.26
19890214,45,14/02/1989,36.9,22.9,0,7.5,25.8,25.2,40.4,90.3,28.31
19890215,46,15/02/1989,36.5,23.9,0,8,26,26.5,43.4,89.4,28.77
19890216,47,16/02/1989,34.1,21.9,0,5.8,17.8,25.4,47.5,96.7,26.62
19890217,48,17/02/1989,35.6,23.3,0,6.5,24.6,26.5,45.6,92.7,28.06
19890218,49,18/02/1989,34.7,23.2,5.4,6.5,21,27.5,49.7,96.7,27.65
19890219,50,19/02/1989,34.1,24.2,0,5.8,18.5,28.1,52.5,93.1,28.03
19890220,51,20/02/1989,34.5,22.5,7.4,6.5,16.9,26.5,48.4,97.3,27.14
19890221,52,21/02/1989,35.5,23.2,0,6.4,16.8,26.8,46.4,94.3,27.96
19890222,53,22/02/1989,36.4,23.4,0,6.4,25.5,26.5,43.6,92.1,28.43
19890223,54,23/02/1989,36.9,23.5,0,7.5,24.7,31.6,50.6,100,28.68
19890224,55,24/02/1989,37.2,24.4,0,7.8,24.8,31.5,49.6,100,29.35
19890225,56,25/02/1989,36,24.1,0,6.7,24.1,28.2,47.5,94,28.7
